lot_number,literature,artist,year_painted,provenance,high_estimate,low_estimate,special_notice,price_realised,title,medium,exhibited,size
Executed in 1981-1986. This work is accompanied by a certificate of authenticity signed by the artist.","Erwin Mieger, San Francisco,

Vivian Horan Fine Art, New York,

Acquired from the above by the present owner, 1987","USD 9,000,000","USD 7,000,000","On occasion, Christie's has a direct financial interest in the outcome of the sale of certain lots consigned for sale.  This will usually be where it has guaranteed to the Seller that whatever the outcome of the auction, the Seller will receive a minimum sale price for the work. This is known as a minimum price guarantee.  Where Christie's has provided a Minimum Price Guarantee it is at risk of making a loss, which can be significant, if the lot fails to sell.  Christie's therefore sometimes chooses to share that risk with a third party. In such cases the third party agrees prior to the auction to place an irrevocable written bid on the lot. The third party is therefore committed to bidding on the lot and, even if there are no other bids, buying the lot at the level of the written bid unless there are any higher bids.  In doing so, the third party takes on all or part of the risk of the lot not being sold.  If the lot is not sold, the third party may incur a loss.  The third party will be remunerated in exchange for accepting this risk based on a fixed fee if the third party is the successful bidder or on the final hammer price in the event that the third party is not the successful bidder. The third party may also bid for the lot above the written bid. Where it does so, and is the successful bidder, the fixed fee for taking on the guarantee risk may be netted against the final purchase price.,Third party guarantors are required by us to disclose to anyone they are advising their financial interest in any lots they are guaranteeing. However, for the avoidance of any doubt, if you are advised by or bidding through an agent on a lot identified as being subject to a third party guarantee you should always ask your agent to confirm whether or not he or she has a financial interest in relation to the lot.","USD 7,863,500","New Shelton Wet/Drys 10 Gallon, New Shelton Wet/Drys 5 Gallon Doubledecker,

","

four vacuum cleaners, acrylic, fluorescent lighting","Berkeley, University Art Museum, University of California, July 1986-May 1988 (on loan).,

New York, Museum of Modern Art; Art Institute of Chicago and Los Angeles, Museum of Contemporary Art, ,, October 1990-September 1991, pp. 393 and 395, fig. 31 (illustrated in color).","

82 x 52 x 28 in. (208.3 x 132.1 x 71.1 cm.)"

27 B,"N. Benezra, et al., , Minneapolis, Walker Art Center, 1994, p. 322, no. 436 (illustrated in color).,

R. Kostelanetz, ,, New York, 2001, p. 440.","Bruce Nauman (B. 1941),

","

Executed in 1989.","Leo Castelli Gallery, New York,

Texas Gallery, Houston,

Donald Young Gallery, Chicago,

Acquired from the above by the present owner, 1990","USD 3,000,000","USD 2,000,000","On occasion, Christie's has a direct financial interest in the outcome of the sale of certain lots consigned for sale.  This will usually be where it has guaranteed to the Seller that whatever the outcome of the auction, the Seller will receive a minimum sale price for the work. This is known as a minimum price guarantee.  Where Christie's has provided a Minimum Price Guarantee it is at risk of making a loss, which can be significant, if the lot fails to sell.  Christie's therefore sometimes chooses to share that risk with a third party. In such cases the third party agrees prior to the auction to place an irrevocable written bid on the lot. The third party is therefore committed to bidding on the lot and, even if there are no other bids, buying the lot at the level of the written bid unless there are any higher bids.  In doing so, the third party takes on all or part of the risk of the lot not being sold.  If the lot is not sold, the third party may incur a loss.  The third party will be remunerated in exchange for accepting this risk based on a fixed fee if the third party is the successful bidder or on the final hammer price in the event that the third party is not the successful bidder. The third party may also bid for the lot above the written bid. Where it does so, and is the successful bidder, the fixed fee for taking on the guarantee risk may be netted against the final purchase price.,Third party guarantors are required by us to disclose to anyone they are advising their financial interest in any lots they are guaranteeing. However, for the avoidance of any doubt, if you are advised by or bidding through an agent on a lot identified as being subject to a third party guarantee you should always ask your agent to confirm whether or not he or she has a financial interest in relation to the lot.","USD 2,227,500","Untitled (Three Small Animals),

","

aluminum, wire","Houston, Texas Gallery, ,, May-July 1989.,

Ridgefield, Aldrich Museum of Contemporary Art and Cleveland Center for Contemporary Art, ,,,May 1997-April 1998, pp. 50-51 and 80 (illustrated in color).","

76 x 76 x 66 in. (193 x 193 x 167.6 cm.)"
